model,agent,prompt,config_label,problems,passed_mean,failed_mean,errors_mean,total_mean,functional_correctness_mean,line_coverage_mean,branch_coverage_mean,mutation_score_mean,complexity_cc_mean,maintainability_mi_mean,bloat_ratio_mean,similarity_score_mean,unique_inputs_count_mean,edge_case_count_mean,test_type_count_mean,duplication_ratio_mean,diversity_score_mean,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,execution_time_mean,passed_sum,functional_correctness_sum,line_coverage_sum,mutation_score_sum,prompt_tokens_sum,completion_tokens_sum,total_tokens_sum,fc_per_1k_tokens,passed_per_1k_tokens,coverage_per_1k_tokens,mutation_per_1k_tokens,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens,elapsed_s,quality_rank
gemma-12b,atomic_swarm,scot,gemma-12b:scot,25,0.24,2.64,0.04,2.92,0.07996,63.2608,25.52,1.0,2.0,89.1768,1.5252,0.6416,3.44,0.84,3.16,0.03996,0.51916,676.66,0.42,676.52,,12.0,3.998,3163.04,50.0,33833.0,21.0,33826.0,0.1181931059,0.354756696,93.5091349849,1.4781529001,0.24,2.64,0.04,2.92,0.07996,63.2608,25.52,1.0,2.0,89.1768,1.5252,0.6416,3.44,0.84,3.16,0.03996,0.51916,676.66,0.42,676.52,,47.07834
gemma-12b,atomic_swarm,few_shot,gemma-12b:few_shot,25,0.28,2.64,0.04,2.96,0.09328,64.0428,26.6,1.0,1.99,89.1944,1.5104,0.64168,3.44,0.84,3.16,0.03996,0.51916,625.62,0.42,625.48,,14.0,4.664,3202.14,50.0,31281.0,21.0,31274.0,0.1491334655,0.4476562,102.3898445993,1.598772143,0.28,2.64,0.04,2.96,0.09328,64.0428,26.6,1.0,1.99,89.1944,1.5104,0.64168,3.44,0.84,3.16,0.03996,0.51916,625.62,0.42,625.48,,47.967101
gemma-12b,baseline,zero_shot,gemma-12b:zero_shot,25,2.84,6.52,0.16,9.52,0.24592,76.1271428571,43.2557142857,1.0,3.2992,70.0648,3.5276,0.35088,8.64,0.44,1.72,0.48572,0.34296,422.58,0.22,419.12,,142.0,12.296,3197.34,50.0,21129.0,11.0,20956.0,0.5867531972,6.7761023096,152.573964497,2.3859515175,2.84,6.52,0.16,9.52,0.24592,76.1271428571,43.2557142857,1.0,3.2992,70.0648,3.5276,0.35088,8.64,0.44,1.72,0.48572,0.34296,422.58,0.22,419.12,,55.980546
gemma-12b,baseline,cot,gemma-12b:cot,25,4.84,5.92,0.0,10.76,0.39512,75.5096,43.768,0.96334,3.16,68.9992,3.6768,0.33864,8.92,0.4,1.32,0.6,0.27272,566.24,164.04,726.28,,242.0,19.756,3775.48,48.167,28312.0,8202.0,36314.0,0.5440326045,6.6640964917,103.9676157956,1.3264030401,4.84,5.92,0.0,10.76,0.39512,75.5096,43.768,0.96334,3.16,68.9992,3.6768,0.33864,8.92,0.4,1.32,0.6,0.27272,566.24,164.04,726.28,,59.576204
gemma-12b,baseline,scot,gemma-12b:scot,25,5.92,2.28,0.04,8.24,0.6994,83.9220833333,67.3545833333,0.85168,2.3636,63.458,4.1808,0.27376,0.0,0.0,0.0,1.0,0.0,885.26,0.0,885.26,,296.0,34.97,4028.26,42.584,44263.0,0.0,44263.0,0.7900503807,6.6873009059,91.0073876601,0.9620676411,5.92,2.28,0.04,8.24,0.6994,83.9220833333,67.3545833333,0.85168,2.3636,63.458,4.1808,0.27376,0.0,0.0,0.0,1.0,0.0,885.26,0.0,885.26,,68.94862
gemma-12b,baseline,few_shot,gemma-12b:few_shot,25,0.68,8.64,0.0,9.32,0.09932,73.4828,27.76,0.965,2.4052,78.9048,2.334,0.4572,13.32,1.04,3.0,0.0,0.67248,1086.2,0.52,1081.04,,34.0,4.966,3674.14,48.25,54310.0,26.0,54052.0,0.0918744912,0.6290239029,67.9741730186,0.892658921,0.68,8.64,0.0,9.32,0.09932,73.4828,27.76,0.965,2.4052,78.9048,2.334,0.4572,13.32,1.04,3.0,0.0,0.67248,1086.2,0.52,1081.04,,50.144701
gemma-12b,coa,zero_shot,gemma-12b:zero_shot,25,0.2,7.56,0.04,7.8,0.02332,71.8683333333,22.9166666667,1.0,2.2648,79.0536,2.5484,0.44984,9.16,0.68,3.04,0.20372,0.56044,561.8,0.34,558.74,,10.0,1.166,3449.68,50.0,28090.0,17.0,27937.0,0.0417367649,0.3579482407,123.4806886924,1.7897412034,0.2,7.56,0.04,7.8,0.02332,71.8683333333,22.9166666667,1.0,2.2648,79.0536,2.5484,0.44984,9.16,0.68,3.04,0.20372,0.56044,561.8,0.34,558.74,,47.747703
gemma-12b,coa,cot,gemma-12b:cot,25,0.12,7.96,0.04,8.12,0.01444,72.1433333333,20.25,1.0,2.1832,79.1712,2.5356,0.4478,8.76,0.8,3.04,0.19484,0.57372,930.28,0.4,927.42,,6.0,0.722,3462.88,50.0,46514.0,20.0,46371.0,0.0155700761,0.1293912143,74.6777080503,1.0782601195,0.12,7.96,0.04,8.12,0.01444,72.1433333333,20.25,1.0,2.1832,79.1712,2.5356,0.4478,8.76,0.8,3.04,0.19484,0.57372,930.28,0.4,927.42,,46.434988
gemma-12b,coa,scot,gemma-12b:scot,25,0.12,7.96,0.04,8.12,0.01332,71.1383333333,16.2083333333,1.0,2.1292,79.43,2.512,0.45092,8.44,0.8,3.04,0.19484,0.57268,694.18,0.4,691.48,,6.0,0.666,3414.64,50.0,34709.0,20.0,34574.0,0.01926303,0.173540811,98.7632324868,1.4461734251,0.12,7.96,0.04,8.12,0.01332,71.1383333333,16.2083333333,1.0,2.1292,79.43,2.512,0.45092,8.44,0.8,3.04,0.19484,0.57268,694.18,0.4,691.48,,46.870292
gemma-12b,coa,few_shot,gemma-12b:few_shot,25,0.12,7.88,0.04,8.04,0.01444,72.0233333333,20.2083333333,1.0,2.1704,79.1808,2.538,0.44904,8.8,0.72,3.04,0.19928,0.56724,611.64,0.36,608.76,,6.0,0.722,3457.12,50.0,30582.0,18.0,30438.0,0.0237203496,0.1971220185,113.5790787831,1.6426834877,0.12,7.88,0.04,8.04,0.01444,72.0233333333,20.2083333333,1.0,2.1704,79.1808,2.538,0.44904,8.8,0.72,3.04,0.19928,0.56724,611.64,0.36,608.76,,47.341999
gemma-12b,competitive,zero_shot,gemma-12b:zero_shot,25,4.4,5.0,0.0,9.4,0.44472,77.1628,47.5612,0.89168,3.288,71.9848,3.326,0.36604,7.24,0.24,1.2,0.64,0.24908,3.62,0.12,0.6,,220.0,22.236,3858.14,44.584,181.0,6.0,30.0,741.2,7333.3333333333,128604.6666666667,1486.1333333333,4.4,5.0,0.0,9.4,0.44472,77.1628,47.5612,0.89168,3.288,71.9848,3.326,0.36604,7.24,0.24,1.2,0.64,0.24908,3.62,0.12,0.6,,62.943614
gemma-12b,competitive,cot,gemma-12b:cot,25,4.44,4.96,0.0,9.4,0.461,78.1792,48.0012,0.888,3.2932,71.8568,3.3332,0.36364,7.32,0.28,1.2,0.64,0.25176,3.66,0.14,0.6,,222.0,23.05,3908.96,44.4,183.0,7.0,30.0,768.3333333333,7400.0,130298.6666666667,1480.0,4.44,4.96,0.0,9.4,0.461,78.1792,48.0012,0.888,3.2932,71.8568,3.3332,0.36364,7.32,0.28,1.2,0.64,0.25176,3.66,0.14,0.6,,63.820514
