model,agent,prompt,config_label,problems,passed_mean,failed_mean,errors_mean,total_mean,functional_correctness_mean,line_coverage_mean,branch_coverage_mean,mutation_score_mean,complexity_cc_mean,maintainability_mi_mean,bloat_ratio_mean,similarity_score_mean,unique_inputs_count_mean,edge_case_count_mean,test_type_count_mean,duplication_ratio_mean,diversity_score_mean,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,execution_time_mean,passed_sum,functional_correctness_sum,line_coverage_sum,mutation_score_sum,prompt_tokens_sum,completion_tokens_sum,total_tokens_sum,fc_per_1k_tokens,passed_per_1k_tokens,coverage_per_1k_tokens,mutation_per_1k_tokens,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens,elapsed_s,quality_rank
gemma-12b,baseline,scot,gemma-12b:scot,25,7.16,1.96,0.0,9.12,0.78252,83.8044,68.8204,0.01,2.6028,70.41,3.888,0.30908,0.0,0.0,0.0,1.0,0.0,886.56,0.0,886.56,7.31,179.0,19.563,2095.11,0.25,22164.0,0.0,22164.0,0.8826475365,8.076159538,94.5276123443,0.0112795524,7.16,1.96,0.0,9.12,0.78252,83.8044,68.8204,0.01,2.6028,70.41,3.888,0.30908,0.0,0.0,0.0,1.0,0.0,886.56,0.0,886.56,7.31,61.584122
gemma-12b,baseline,few_shot,gemma-12b:few_shot,25,6.68,2.76,0.0,9.44,0.69304,93.9112,90.5132,0.018,2.5624,59.1544,1.7304,0.12968,12.8,1.0,2.92,0.04,0.6508,649.64,0.0,649.64,4.8908,167.0,17.326,2347.78,0.45,16241.0,0.0,16241.0,1.0668062311,10.2826180654,144.5588325842,0.0277076535,6.68,2.76,0.0,9.44,0.69304,93.9112,90.5132,0.018,2.5624,59.1544,1.7304,0.12968,12.8,1.0,2.92,0.04,0.6508,649.64,0.0,649.64,4.8908,67.378161
gemma-12b,coa,zero_shot,gemma-12b:zero_shot,25,6.44,1.32,0.04,7.8,0.7912,95.2704166667,93.0904166667,0.13532,2.2916,71.8136,1.8104,0.06676,8.48,0.72,3.04,0.20756,0.56008,1335.4,52.32,1387.72,18.004,161.0,19.78,2286.49,3.383,33385.0,1308.0,34693.0,0.570143833,4.6407056178,65.9063788084,0.0975124665,6.44,1.32,0.04,7.8,0.7912,95.2704166667,93.0904166667,0.13532,2.2916,71.8136,1.8104,0.06676,8.48,0.72,3.04,0.20756,0.56008,1335.4,52.32,1387.72,18.004,71.816147
gemma-12b,coa,cot,gemma-12b:cot,25,6.72,1.4,0.04,8.16,0.78856,94.1208333333,85.67375,0.07668,2.2512,71.6224,1.816,0.06896,8.64,0.8,3.04,0.20372,0.56644,1515.0,0.0,1515.0,19.148,168.0,19.714,2258.9,1.917,37875.0,0.0,37875.0,0.5205016502,4.4356435644,59.6409240924,0.0506138614,6.72,1.4,0.04,8.16,0.78856,94.1208333333,85.67375,0.07668,2.2512,71.6224,1.816,0.06896,8.64,0.8,3.04,0.20372,0.56644,1515.0,0.0,1515.0,19.148,70.489746
gemma-12b,coa,scot,gemma-12b:scot,25,6.88,1.28,0.04,8.2,0.80216,93.7358333333,85.2154166667,0.15068,2.2948,71.2312,1.8544,0.06952,8.92,0.72,3.04,0.19772,0.5666,1092.04,10.64,1102.68,14.344,172.0,20.054,2249.66,3.767,27301.0,266.0,27567.0,0.7274639968,6.2393441434,81.6069938695,0.1366488918,6.88,1.28,0.04,8.2,0.80216,93.7358333333,85.2154166667,0.15068,2.2948,71.2312,1.8544,0.06952,8.92,0.72,3.04,0.19772,0.5666,1092.04,10.64,1102.68,14.344,72.429427
gemma-12b,coa,few_shot,gemma-12b:few_shot,25,6.76,1.2,0.04,8.0,0.80324,93.23125,85.1320833333,0.12332,2.2544,71.5596,1.8236,0.06412,8.56,0.76,3.04,0.20044,0.5646,1087.4,0.0,1087.4,15.328,169.0,20.081,2237.55,3.083,27185.0,0.0,27185.0,0.7386794188,6.2166636013,82.3082582306,0.1134081295,6.76,1.2,0.04,8.0,0.80324,93.23125,85.1320833333,0.12332,2.2544,71.5596,1.8236,0.06412,8.56,0.76,3.04,0.20044,0.5646,1087.4,0.0,1087.4,15.328,71.930176
gemma-12b,competitive,zero_shot,gemma-12b:zero_shot,25,6.68,2.76,0.0,9.44,0.66424,85.7708,74.6812,0.008,3.7408,62.2328,2.6384,0.30296,7.8,0.28,1.32,0.60308,0.277,749.4,0.0,749.4,7.822,167.0,16.606,2144.27,0.2,18735.0,0.0,18735.0,0.8863624233,8.9137977048,114.4526287697,0.0106752068,6.68,2.76,0.0,9.44,0.66424,85.7708,74.6812,0.008,3.7408,62.2328,2.6384,0.30296,7.8,0.28,1.32,0.60308,0.277,749.4,0.0,749.4,7.822,60.21104
gemma-12b,competitive,cot,gemma-12b:cot,25,6.6,2.88,0.0,9.48,0.65084,87.4156,75.6012,0.03468,3.6984,62.448,2.626,0.30024,8.0,0.28,1.32,0.60308,0.277,689.28,0.0,689.28,9.4568,165.0,16.271,2185.39,0.867,17232.0,0.0,17232.0,0.944231662,9.5752089136,126.8216109564,0.0503133705,6.6,2.88,0.0,9.48,0.65084,87.4156,75.6012,0.03468,3.6984,62.448,2.626,0.30024,8.0,0.28,1.32,0.60308,0.277,689.28,0.0,689.28,9.4568,60.541896
gemma-12b,competitive,scot,gemma-12b:scot,25,6.56,2.84,0.0,9.4,0.65612,85.4244,74.8812,0.008,3.7196,62.3448,2.6268,0.29068,8.12,0.32,1.32,0.6,0.27944,808.96,0.0,808.96,7.2556,164.0,16.403,2135.61,0.2,20224.0,0.0,20224.0,0.8110660601,8.1091772152,105.5978045886,0.0098892405,6.56,2.84,0.0,9.4,0.65612,85.4244,74.8812,0.008,3.7196,62.3448,2.6268,0.29068,8.12,0.32,1.32,0.6,0.27944,808.96,0.0,808.96,7.2556,59.769101
gemma-12b,competitive,few_shot,gemma-12b:few_shot,25,6.76,2.8,0.0,9.56,0.67368,86.9516,73.8812,0.042,3.6028,63.6148,2.6448,0.32236,7.48,0.28,1.2,0.64236,0.25116,714.08,0.0,714.08,8.4788,169.0,16.842,2173.79,1.05,17852.0,0.0,17852.0,0.943423706,9.4667264172,121.767308985,0.0588169393,6.76,2.8,0.0,9.56,0.67368,86.9516,73.8812,0.042,3.6028,63.6148,2.6448,0.32236,7.48,0.28,1.2,0.64236,0.25116,714.08,0.0,714.08,8.4788,61.16802
