model,agent,prompt,config_label,problems,passed_mean,failed_mean,errors_mean,total_mean,functional_correctness_mean,line_coverage_mean,branch_coverage_mean,mutation_score_mean,complexity_cc_mean,maintainability_mi_mean,bloat_ratio_mean,similarity_score_mean,unique_inputs_count_mean,edge_case_count_mean,test_type_count_mean,duplication_ratio_mean,diversity_score_mean,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,execution_time_mean,passed_sum,functional_correctness_sum,line_coverage_sum,mutation_score_sum,prompt_tokens_sum,completion_tokens_sum,total_tokens_sum,fc_per_1k_tokens,passed_per_1k_tokens,coverage_per_1k_tokens,mutation_per_1k_tokens,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens,elapsed_s,quality_rank
gemma-12b,atomic_swarm,scot,gemma-12b:scot,25,0.24,2.64,0.04,2.92,0.07996,63.2608,25.52,1.0,2.0,89.1768,1.5252,0.6416,3.44,0.84,3.16,0.03996,0.51916,1349.88,0.0,1349.88,,6.0,1.999,1581.52,25.0,33747.0,0.0,33747.0,0.059234895,0.1777935817,46.8640175423,0.7408065902,0.24,2.64,0.04,2.92,0.07996,63.2608,25.52,1.0,2.0,89.1768,1.5252,0.6416,3.44,0.84,3.16,0.03996,0.51916,1349.88,0.0,1349.88,,47.960047
gemma-12b,atomic_swarm,few_shot,gemma-12b:few_shot,25,0.28,2.64,0.04,2.96,0.09328,64.0428,26.6,1.0,1.99,89.1944,1.5104,0.64168,3.44,0.84,3.16,0.03996,0.51916,1247.8,0.0,1247.8,,7.0,2.332,1601.07,25.0,31195.0,0.0,31195.0,0.0747555698,0.2243949351,51.3245712454,0.8014104824,0.28,2.64,0.04,2.96,0.09328,64.0428,26.6,1.0,1.99,89.1944,1.5104,0.64168,3.44,0.84,3.16,0.03996,0.51916,1247.8,0.0,1247.8,,48.782508
gemma-12b,baseline,zero_shot,gemma-12b:zero_shot,25,2.84,6.52,0.16,9.52,0.24592,76.1271428571,43.2557142857,1.0,3.2992,70.0648,3.5276,0.35088,8.64,0.44,1.72,0.48572,0.34296,836.52,0.0,836.52,,71.0,6.148,1598.67,25.0,20913.0,0.0,20913.0,0.2939798212,3.3950174533,76.4438387606,1.1954286807,2.84,6.52,0.16,9.52,0.24592,76.1271428571,43.2557142857,1.0,3.2992,70.0648,3.5276,0.35088,8.64,0.44,1.72,0.48572,0.34296,836.52,0.0,836.52,,56.526565
gemma-12b,baseline,cot,gemma-12b:cot,25,4.84,5.92,0.0,10.76,0.39512,75.2932,43.768,0.96,3.16,68.9992,3.6768,0.33864,8.92,0.4,1.32,0.6,0.27272,1123.56,327.68,1451.24,,121.0,9.878,1882.33,24.0,28089.0,8192.0,36281.0,0.2722637193,3.335078967,51.8819767923,0.6615032662,4.84,5.92,0.0,10.76,0.39512,75.2932,43.768,0.96,3.16,68.9992,3.6768,0.33864,8.92,0.4,1.32,0.6,0.27272,1123.56,327.68,1451.24,,60.416651
gemma-12b,baseline,scot,gemma-12b:scot,25,5.92,2.28,0.04,8.24,0.6994,83.9220833333,67.3545833333,0.84668,2.3636,63.458,4.1808,0.27376,0.0,0.0,0.0,1.0,0.0,1770.52,0.0,1770.52,,148.0,17.485,2014.13,21.167,44263.0,0.0,44263.0,0.3950251903,3.343650453,45.5036938301,0.4782097915,5.92,2.28,0.04,8.24,0.6994,83.9220833333,67.3545833333,0.84668,2.3636,63.458,4.1808,0.27376,0.0,0.0,0.0,1.0,0.0,1770.52,0.0,1770.52,,70.023563
gemma-12b,baseline,few_shot,gemma-12b:few_shot,25,0.68,8.64,0.0,9.32,0.09932,73.3008,27.76,0.96,2.4052,78.9048,2.334,0.4572,13.32,1.04,3.0,0.0,0.67248,2159.08,0.0,2159.08,,17.0,2.483,1832.52,24.0,53977.0,0.0,53977.0,0.0460010745,0.3149489597,33.9500157474,0.4446338255,0.68,8.64,0.0,9.32,0.09932,73.3008,27.76,0.96,2.4052,78.9048,2.334,0.4572,13.32,1.04,3.0,0.0,0.67248,2159.08,0.0,2159.08,,51.431227
gemma-12b,coa,zero_shot,gemma-12b:zero_shot,25,0.2,7.56,0.04,7.8,0.02332,71.7525,22.9166666667,1.0,2.2648,79.0536,2.5484,0.44984,9.16,0.68,3.04,0.20372,0.56044,1114.44,0.0,1114.44,,5.0,0.583,1722.06,25.0,27861.0,0.0,27861.0,0.0209253078,0.1794623309,61.808980295,0.8973116543,0.2,7.56,0.04,7.8,0.02332,71.7525,22.9166666667,1.0,2.2648,79.0536,2.5484,0.44984,9.16,0.68,3.04,0.20372,0.56044,1114.44,0.0,1114.44,,48.447346
gemma-12b,coa,cot,gemma-12b:cot,25,0.12,7.96,0.04,8.12,0.01444,72.0275,20.25,1.0,2.1832,79.1712,2.5356,0.4478,8.76,0.8,3.04,0.19484,0.57372,1851.8,0.0,1851.8,,3.0,0.361,1728.66,25.0,46295.0,0.0,46295.0,0.0077978183,0.0648018145,37.3401015228,0.5400151204,0.12,7.96,0.04,8.12,0.01444,72.0275,20.25,1.0,2.1832,79.1712,2.5356,0.4478,8.76,0.8,3.04,0.19484,0.57372,1851.8,0.0,1851.8,,47.613543
gemma-12b,coa,scot,gemma-12b:scot,25,0.12,7.96,0.04,8.12,0.01332,71.0225,16.2083333333,1.0,2.1292,79.43,2.512,0.45092,8.44,0.8,3.04,0.19484,0.57268,1379.92,0.0,1379.92,,3.0,0.333,1704.54,25.0,34498.0,0.0,34498.0,0.0096527335,0.086961563,49.4098208592,0.7246796916,0.12,7.96,0.04,8.12,0.01332,71.0225,16.2083333333,1.0,2.1292,79.43,2.512,0.45092,8.44,0.8,3.04,0.19484,0.57268,1379.92,0.0,1379.92,,47.742363
gemma-12b,coa,few_shot,gemma-12b:few_shot,25,0.12,7.88,0.04,8.04,0.01444,71.9075,20.2083333333,1.0,2.1704,79.1808,2.538,0.44904,8.8,0.72,3.04,0.19928,0.56724,1214.48,0.0,1214.48,,3.0,0.361,1725.78,25.0,30362.0,0.0,30362.0,0.0118898623,0.0988077202,56.8401291088,0.8233976681,0.12,7.88,0.04,8.04,0.01444,71.9075,20.2083333333,1.0,2.1704,79.1808,2.538,0.44904,8.8,0.72,3.04,0.19928,0.56724,1214.48,0.0,1214.48,,48.106618
gemma-12b,competitive,zero_shot,gemma-12b:zero_shot,25,4.4,5.0,0.0,9.4,0.44472,76.934,47.5612,0.88668,3.288,71.9848,3.326,0.36604,7.24,0.24,1.2,0.64,0.24908,0.0,0.0,0.0,,110.0,11.118,1923.35,22.167,0.0,0.0,0.0,,,,,4.4,5.0,0.0,9.4,0.44472,76.934,47.5612,0.88668,3.288,71.9848,3.326,0.36604,7.24,0.24,1.2,0.64,0.24908,0.0,0.0,0.0,,62.8133
gemma-12b,competitive,cot,gemma-12b:cot,25,4.44,4.96,0.0,9.4,0.461,77.9504,48.0012,0.888,3.2932,71.8568,3.3332,0.36364,7.32,0.28,1.2,0.64,0.25176,0.0,0.0,0.0,,111.0,11.525,1948.76,22.2,0.0,0.0,0.0,,,,,4.44,4.96,0.0,9.4,0.461,77.9504,48.0012,0.888,3.2932,71.8568,3.3332,0.36364,7.32,0.28,1.2,0.64,0.25176,0.0,0.0,0.0,,63.7652
gemma-12b,competitive,scot,gemma-12b:scot,25,3.6,6.04,0.0,9.64,0.37124,76.7424,43.1212,0.93,3.18,72.8684,3.2328,0.37792,7.88,0.32,1.44,0.56308,0.30468,0.0,0.0,0.0,,90.0,9.281,1918.56,23.25,0.0,0.0,0.0,,,,,3.6,6.04,0.0,9.64,0.37124,76.7424,43.1212,0.93,3.18,72.8684,3.2328,0.37792,7.88,0.32,1.44,0.56308,0.30468,0.0,0.0,0.0,,61.032
gemma-12b,competitive,few_shot,gemma-12b:few_shot,25,3.52,6.04,0.0,9.56,0.36292,77.0168,43.1612,0.96,3.5308,72.1428,3.308,0.37164,8.32,0.32,1.44,0.56284,0.30472,0.0,0.0,0.0,,88.0,9.073,1925.42,24.0,0.0,0.0,0.0,,,,,3.52,6.04,0.0,9.56,0.36292,77.0168,43.1612,0.96,3.5308,72.1428,3.308,0.37164,8.32,0.32,1.44,0.56284,0.30472,0.0,0.0,0.0,,61.2182
gemma-12b,consensus,zero_shot,gemma-12b:zero_shot,25,1.52,2.2,0.68,4.4,0.11456,78.52625,57.02125,0.968,2.6324,71.1972,3.2056,0.37532,15.12,0.84,2.68,0.20284,0.55336,2971.12,0.0,2971.12,,38.0,2.864,628.21,24.2,74278.0,0.0,74278.0,0.0385578502,0.5115915884,8.4575513611,0.3258030642,1.52,2.2,0.68,4.4,0.11456,78.52625,57.02125,0.968,2.6324,71.1972,3.2056,0.37532,15.12,0.84,2.68,0.20284,0.55336,2971.12,0.0,2971.12,,51.52695
gemma-12b,consensus,cot,gemma-12b:cot,25,1.0,3.0,0.64,4.64,0.07684,73.2933333333,43.2777777778,1.0,2.62,72.2044,3.0592,0.37616,15.4,0.76,2.72,0.16484,0.57156,3706.44,16.4,3722.84,,25.0,1.921,659.64,25.0,92661.0,410.0,93071.0,0.0206401564,0.2686121348,7.0874923446,0.2686121348,1.0,3.0,0.64,4.64,0.07684,73.2933333333,43.2777777778,1.0,2.62,72.2044,3.0592,0.37616,15.4,0.76,2.72,0.16484,0.57156,3706.44,16.4,3722.84,,48.678521
