model,agent,prompt,config_label,problems,passed_mean,failed_mean,errors_mean,total_mean,functional_correctness_mean,line_coverage_mean,branch_coverage_mean,mutation_score_mean,complexity_cc_mean,maintainability_mi_mean,bloat_ratio_mean,similarity_score_mean,unique_inputs_count_mean,edge_case_count_mean,test_type_count_mean,duplication_ratio_mean,diversity_score_mean,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,execution_time_mean,passed_sum,functional_correctness_sum,line_coverage_sum,mutation_score_sum,prompt_tokens_sum,completion_tokens_sum,total_tokens_sum,fc_per_1k_tokens,passed_per_1k_tokens,coverage_per_1k_tokens,mutation_per_1k_tokens,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens,elapsed_s,quality_rank
gemma-27b,coa,few_shot,gemma-27b:few_shot,25,10.2,2.0,0.06,12.24,0.74008,73.7614583333,53.5944,0.709,2.5386,65.3984,4.481,0.22352,0.10316,0.68888,1483.28,0.0,1483.28,1064.9032,305.6,2263.0,,510.0,37.004,3540.55,35.45,53245.16,7640.0,56575.0,0.6540698188,9.0145824127,62.5815289439,0.6266018559,10.2,2.0,0.06,12.24,0.74008,73.7614583333,53.5944,0.709,2.5386,65.3984,4.481,0.22352,0.10316,0.68888,1483.28,0.0,1483.28,1064.9032,305.6,2263.0,,14896.197943
gemma-27b,competitive,zero_shot,gemma-27b:zero_shot,25,4.86,1.5,0.02,6.38,0.36164,60.7193877551,91.3054166667,0.951,1.3012,73.4272,1.0158,0.06988,0.04668,0.66244,610.44,0.0,610.44,15.5512,0.0,0.0,,243.0,18.082,2975.25,47.55,777.56,0.0,0.0,,,,,4.86,1.5,0.02,6.38,0.36164,60.7193877551,91.3054166667,0.951,1.3012,73.4272,1.0158,0.06988,0.04668,0.66244,610.44,0.0,610.44,15.5512,0.0,0.0,,6158.310447
gemma-27b,competitive,cot,gemma-27b:cot,25,5.16,1.32,0.02,6.5,0.37372,59.9865306122,91.26375,0.922,1.1768,73.9566,0.97,0.07224,0.04836,0.65196,633.88,0.0,633.88,18.5894,0.0,0.0,,258.0,18.686,2939.34,46.1,929.47,0.0,0.0,,,,,5.16,1.32,0.02,6.5,0.37372,59.9865306122,91.26375,0.922,1.1768,73.9566,0.97,0.07224,0.04836,0.65196,633.88,0.0,633.88,18.5894,0.0,0.0,,6392.575433
gemma-27b,competitive,scot,gemma-27b:scot,25,4.8,1.52,0.02,6.34,0.36244,60.6742857143,91.3054166667,0.948,1.3078,73.4914,1.0032,0.07178,0.04364,0.66084,720.32,0.0,720.32,20.6862,0.0,0.0,,240.0,18.122,2973.04,47.4,1034.31,0.0,0.0,,,,,4.8,1.52,0.02,6.34,0.36244,60.6742857143,91.3054166667,0.948,1.3078,73.4914,1.0032,0.07178,0.04364,0.66084,720.32,0.0,720.32,20.6862,0.0,0.0,,7257.086171
gemma-27b,competitive,few_shot,gemma-27b:few_shot,25,4.98,1.4,0.02,6.4,0.36956,60.6187755102,91.3054166667,0.957,1.3162,73.468,1.0076,0.07242,0.04668,0.66008,590.0,0.0,590.0,19.9102,0.0,0.0,,249.0,18.478,2970.32,47.85,995.51,0.0,0.0,,,,,4.98,1.4,0.02,6.4,0.36956,60.6187755102,91.3054166667,0.957,1.3162,73.468,1.0076,0.07242,0.04668,0.66008,590.0,0.0,590.0,19.9102,0.0,0.0,,5954.292094
gemma-27b,consensus,zero_shot,gemma-27b:zero_shot,25,10.2,3.7,0.06,13.96,0.69876,85.3659574468,66.71125,0.91166,2.8962,59.9568,3.0638,0.319,0.09028,0.63756,2205.68,0.0,2205.68,1773.5864,47.32,3442.48,,510.0,34.938,4012.2,45.583,88679.32,1183.0,86062.0,0.4059631429,5.9259603542,46.6198786921,0.5296530408,10.2,3.7,0.06,13.96,0.69876,85.3659574468,66.71125,0.91166,2.8962,59.9568,3.0638,0.319,0.09028,0.63756,2205.68,0.0,2205.68,1773.5864,47.32,3442.48,,22121.733897
gemma-27b,consensus,cot,gemma-27b:cot,25,10.98,3.48,0.06,14.52,0.70886,85.1289361702,67.0756521739,0.91166,2.8,60.0794,3.0626,0.31916,0.1314,0.61156,2204.08,0.0,2204.08,1766.4538,493.76,3860.68,,549.0,35.443,4001.06,45.583,88322.69,12344.0,96517.0,0.3672202824,5.6881171193,41.4544588,0.4722794948,10.98,3.48,0.06,14.52,0.70886,85.1289361702,67.0756521739,0.91166,2.8,60.0794,3.0626,0.31916,0.1314,0.61156,2204.08,0.0,2204.08,1766.4538,493.76,3860.68,,22105.102788
gemma-27b,consensus,scot,gemma-27b:scot,25,10.36,3.28,0.04,13.68,0.71856,85.1547916667,67.7572,0.92,2.94,62.1544,3.0152,0.33264,0.04936,0.66144,2169.0,0.0,2169.0,1509.2234,619.96,3452.56,,518.0,35.928,4087.43,46.0,75461.17,15499.0,86314.0,0.4162476539,6.0013439303,47.3553537086,0.532937878,10.36,3.28,0.04,13.68,0.71856,85.1547916667,67.7572,0.92,2.94,62.1544,3.0152,0.33264,0.04936,0.66144,2169.0,0.0,2169.0,1509.2234,619.96,3452.56,,21755.774684
gemma-27b,consensus,few_shot,gemma-27b:few_shot,25,9.88,3.26,0.06,13.2,0.70422,85.2217021277,66.7856521739,0.9,2.953,62.0472,3.0556,0.33198,0.08992,0.6346,2732.24,753.72,3485.96,1836.6708,743.44,4285.48,,494.0,35.211,4005.42,45.0,91833.54,18586.0,107137.0,0.3286539664,4.6109187302,37.385963766,0.4200229613,9.88,3.26,0.06,13.2,0.70422,85.2217021277,66.7856521739,0.9,2.953,62.0472,3.0556,0.33198,0.08992,0.6346,2732.24,753.72,3485.96,1836.6708,743.44,4285.48,,34922.574226
gemma-27b,hybrid,zero_shot,gemma-27b:zero_shot,25,17.72,5.46,0.06,23.24,0.7107,85.0478723404,63.34,0.89,2.8298,56.8266,4.474,0.28812,0.6446,0.24088,3562.04,0.0,3562.04,1991.7826,0.0,3842.88,,886.0,35.535,3997.25,44.5,99589.13,0.0,96072.0,0.3698788409,9.2222499792,41.6068157215,0.463194271,17.72,5.46,0.06,23.24,0.7107,85.0478723404,63.34,0.89,2.8298,56.8266,4.474,0.28812,0.6446,0.24088,3562.04,0.0,3562.04,1991.7826,0.0,3842.88,,35684.472758
gemma-27b,hybrid,cot,gemma-27b:cot,25,11.94,5.6,0.04,17.58,0.6525,94.08875,90.6529166667,0.954,2.9674,40.7974,3.4958,0.06956,0.12688,0.64964,3738.84,0.0,3738.84,1420.4156,0.0,2714.56,,597.0,32.625,4516.26,47.7,71020.78,0.0,67864.0,0.4807408936,8.7970057763,66.5486856065,0.7028763409,11.94,5.6,0.04,17.58,0.6525,94.08875,90.6529166667,0.954,2.9674,40.7974,3.4958,0.06956,0.12688,0.64964,3738.84,0.0,3738.84,1420.4156,0.0,2714.56,,37455.997868
gemma-27b,hybrid,scot,gemma-27b:scot,25,7.08,1.34,0.02,8.44,0.80376,81.9032653061,64.7829166667,0.67568,2.5332,74.2644,2.5036,0.46938,0.12016,0.60176,2867.48,0.0,2867.48,1264.4634,646.76,3003.72,,354.0,40.188,4013.26,33.784,63223.17,16169.0,75093.0,0.5351763813,4.7141544485,53.4438629433,0.449895463,7.08,1.34,0.02,8.44,0.80376,81.9032653061,64.7829166667,0.67568,2.5332,74.2644,2.5036,0.46938,0.12016,0.60176,2867.48,0.0,2867.48,1264.4634,646.76,3003.72,,28740.552353
gemma-27b,hybrid,few_shot,gemma-27b:few_shot,25,14.46,4.48,0.02,18.96,0.75158,88.1981632653,71.7475,0.92834,2.5536,56.6196,4.951,0.27524,0.10068,0.69176,3747.84,0.0,3747.84,1827.8556,690.56,4199.48,,723.0,37.579,4321.71,46.417,91392.78,17264.0,104987.0,0.3579395544,6.8865669083,41.164239382,0.4421214055,14.46,4.48,0.02,18.96,0.75158,88.1981632653,71.7475,0.92834,2.5536,56.6196,4.951,0.27524,0.10068,0.69176,3747.84,0.0,3747.84,1827.8556,690.56,4199.48,,37544.638518
